Lunar IPS (LIPS) Version 1.01
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
03A526       2    No     00000005-0000000B        7
03A62C       8    No     0000000C-00000018        D
03A666       3    No     00000019-00000020        8
03A716       3    No     00000021-00000028        8
03A78A       3    No     00000029-00000030        8
03A7E4       3    No     00000031-00000038        8
03A976       8    No     00000039-00000045        D
03B15C       2    No     00000046-0000004C        7
03B168       2    No     0000004D-00000053        7
03B18A       1    No     00000054-00000059        6
03B19A       1    No     0000005A-0000005F        6
03B1AC       2    No     00000060-00000066        7
03B216       1    No     00000067-0000006C        6
03BB99       3    No     0000006D-00000074        8
03BDD5       2    No     00000075-0000007B        7
------    ----    EOF    0000007C-0000007E        3

Total Patches: F (15)
