Lunar IPS (LIPS) Version 1.01
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
000138       2    No     00000005-0000000B        7
00014D       3    No     0000000C-00000013        8
0126B7       1    No     00000014-00000019        6
0136C2       1    No     0000001A-0000001F        6
0227E9       4    No     00000020-00000028        9
02280B       9    No     00000029-00000036        E
022856       6    No     00000037-00000041        B
0286AE       1    No     00000042-00000047        6
0286FA      1B    No     00000048-00000067       20
02881C      47    No     00000068-000000B3       4C
02886C      17    No     000000B4-000000CF       1C
0288A4       B    No     000000D0-000000DF       10
0288CC       7    No     000000E0-000000EB        C
0288DC       E    No     000000EC-000000FE       13
0288F4       F    No     000000FF-00000112       14
02890C       8    No     00000113-0000011F        D
02891E      26    No     00000120-0000014A       2B
029779       7    No     0000014B-00000156        C
029789       9    No     00000157-00000164        E
029799       8    No     00000165-00000171        D
0297A9      29    No     00000172-0000019F       2E
0297D9      1B    No     000001A0-000001BF       20
0297FE       1    No     000001C0-000001C5        6
029805      14    No     000001C6-000001DE       19
02981F      18    No     000001DF-000001FB       1D
02983D      18    No     000001FC-00000218       1D
029876       1    No     00000219-0000021E        6
029881       E    No     0000021F-00000231       13
029895      5F    No     00000232-00000295       64
0298FB       D    No     00000296-000002A7       12
02990F       9    No     000002A8-000002B5        E
029922      16    No     000002B6-000002D0       1B
02993E       B    No     000002D1-000002E0       10
029951       9    No     000002E1-000002EE        E
029962      18    No     000002EF-0000030B       1D
029982       7    No     0000030C-00000317        C
029991       9    No     00000318-00000325        E
0299A2       9    No     00000326-00000333        E
0299B3       A    No     00000334-00000342        F
0299C4      32    No     00000343-00000379       37
0299FE       9    No     0000037A-00000387        E
029A0F       9    No     00000388-00000395        E
029A20       9    No     00000396-000003A3        E
029A31      1B    No     000003A4-000003C3       20
029A6D       F    No     000003C4-000003D7       14
029A82       7    No     000003D8-000003E3        C
029AB1       5    No     000003E4-000003ED        A
029AD6       7    No     000003EE-000003F9        C
029AF7       7    No     000003FA-00000405        C
029B0E       5    No     00000406-0000040F        A
029B1F       9    No     00000410-0000041D        E
029B2F       1    No     0000041E-00000423        6
029B36       3    No     00000424-0000042B        8
029B41       3    No     0000042C-00000433        8
029B52       5    No     00000434-0000043D        A
029B65       5    No     0000043E-00000447        A
029B73       3    No     00000448-0000044F        8
029B8B       3    No     00000450-00000457        8
029BA3       B    No     00000458-00000467       10
029BC5       1    No     00000468-0000046D        6
029BD5       9    No     0000046E-0000047B        E
029BEB       B    No     0000047C-0000048B       10
029C03       5    No     0000048C-00000495        A
029C11      14    No     00000496-000004AE       19
029C2F       5    No     000004AF-000004B8        A
029C3B       3    No     000004B9-000004C0        8
029C53       3    No     000004C1-000004C8        8
029C5D       1    No     000004C9-000004CE        6
029C8B       1    No     000004CF-000004D4        6
029C92      40    No     000004D5-00000519       45
029CD9      14    No     0000051A-00000532       19
029CF5      27    No     00000533-0000055E       2C
029D24       A    No     0000055F-0000056D        F
029D35       8    No     0000056E-0000057A        D
029D44      18    No     0000057B-00000597       1D
029D7E      1C    No     00000598-000005B8       21
029DBC       D    No     000005B9-000005CA       12
029DE1       6    No     000005CB-000005D5        B
029E06       6    No     000005D6-000005E0        B
029E1D      1A    No     000005E1-000005FF       1F
029E45       C    No     00000600-00000610       11
029E5D       E    No     00000611-00000623       13
029E77      35    No     00000624-0000065D       3A
029EBD       7    No     0000065E-00000669        C
029ECB       3    No     0000066A-00000671        8
029ED5      3B    No     00000672-000006B1       40
029F1B       D    No     000006B2-000006C3       12
029F33       D    No     000006C4-000006D5       12
029F4B       1    No     000006D6-000006DB        6
029F52       3    No     000006DC-000006E3        8
029F5D      14    No     000006E4-000006FC       19
029F79      47    No     000006FD-00000748       4C
029FC6      62    No     00000749-000007AF       67
02A031       B    No     000007B0-000007BF       10
02A046       B    No     000007C0-000007CF       10
02A05C       E    No     000007D0-000007E2       13
02A07A       9    No     000007E3-000007F0        E
02A08D       A    No     000007F1-000007FF        F
02A0AA      10    No     00000800-00000814       15
02A0CD      10    No     00000815-00000829       15
02A0EC       5    No     0000082A-00000833        A
02A101       5    No     00000834-0000083D        A
02A116       9    No     0000083E-0000084B        E
02A12F       9    No     0000084C-00000859        E
02A158       7    No     0000085A-00000865        C
02A179       7    No     00000866-00000871        C
02A19A       7    No     00000872-0000087D        C
